id;year;outcome;adopt_year;D;x1;x2
1;2000;1.608102932;NA;0;-0.626453811;1
1;2001;1.886865542;NA;0;-0.626453811;1
1;2002;2.239263946;NA;0;-0.626453811;1
1;2003;2.665701351;NA;0;-0.626453811;1
1;2004;2.566797614;NA;0;-0.626453811;1
1;2005;2.864701799;NA;0;-0.626453811;1
1;2006;3.036357888;NA;0;-0.626453811;1
1;2007;3.324408571;NA;0;-0.626453811;1
1;2008;3.767780045;NA;0;-0.626453811;1
1;2009;4.43465857;NA;0;-0.626453811;1
1;2010;4.684409972;NA;0;-0.626453811;1
1;2011;4.326076916;NA;0;-0.626453811;1
1;2012;5.411690783;NA;0;-0.626453811;1
2;2000;1.853669008;NA;0;0.183643324;1
2;2001;2.673583524;NA;0;0.183643324;1
2;2002;3.684463555;NA;0;0.183643324;1
2;2003;3.991651243;NA;0;0.183643324;1
2;2004;3.963688041;NA;0;0.183643324;1
2;2005;3.841968895;NA;0;0.183643324;1
2;2006;4.333437212;NA;0;0.183643324;1
2;2007;3.523977821;NA;0;0.183643324;1
2;2008;3.979328873;NA;0;0.183643324;1
2;2009;4.00370514;NA;0;0.183643324;1
2;2010;3.920564836;NA;0;0.183643324;1
2;2011;4.929738962;NA;0;0.183643324;1
2;2012;5.539911289;NA;0;0.183643324;1
3;2000;-1.582995827;NA;0;-0.835628612;0
3;2001;-1.505990963;NA;0;-0.835628612;0
3;2002;-1.098911002;NA;0;-0.835628612;0
3;2003;-0.771671979;NA;0;-0.835628612;0
3;2004;-0.735783549;NA;0;-0.835628612;0
3;2005;-0.596992234;NA;0;-0.835628612;0
3;2006;-0.753521479;NA;0;-0.835628612;0
3;2007;-0.775923795;NA;0;-0.835628612;0
3;2008;-0.921166804;NA;0;-0.835628612;0
3;2009;-1.216679407;NA;0;-0.835628612;0
3;2010;-0.746785985;NA;0;-0.835628612;0
3;2011;-0.106005314;NA;0;-0.835628612;0
3;2012;0.867629976;NA;0;-0.835628612;0
4;2000;1.40157852;2004;0;1.595280802;1
4;2001;2.534856325;2004;0;1.595280802;1
4;2002;2.588715912;2004;0;1.595280802;1
4;2003;3.31155018;2004;0;1.595280802;1
